capital_change,event_type,talent_value
5.0,lucky,0.611115379506361
10.0,lucky,0.5572879678953404
5.0,lucky,0.6587613328904643
5.0,lucky,0.631412877224479
5.0,lucky,0.6644145576379148
10.0,lucky,0.8401752709670891
10.0,lucky,0.555405631802891
-5.0,unlucky,0.5673631684127454
-5.0,unlucky,0.57906497864431
-1.0,unlucky,0.7471314137033332
-1.0,unlucky,0.7929188047595209
10.0,lucky,0.6713836767779474
20.0,lucky,0.6501588807062013
-5.0,unlucky,0.5475070904299238
-2.5,unlucky,0.5673631684127454
-5.0,unlucky,0.5759336239622259
-5.0,unlucky,0.5867158629553798
-5.0,unlucky,0.5709463105258009
-1.0,unlucky,0.6025213556044619
-10.0,unlucky,0.5704302008265013
10.0,lucky,0.4627655309956722
10.0,lucky,0.5508093538413341
5.0,lucky,0.7034428049266636
-2.5,unlucky,0.5867158629553798
-2.5,unlucky,0.5709463105258009
-5.0,unlucky,0.7454724966284296
-5.0,unlucky,0.6644145576379148
-2.5,unlucky,0.7102825816851016
-5.0,unlucky,0.5833673627233299
-0.5,unlucky,0.5802321183050977
-2.5,unlucky,0.6299193671496478
-10.0,unlucky,0.6713836767779474
-5.0,unlucky,0.6953709537466723
-1.0,unlucky,0.5673631684127454
-2.5,unlucky,0.6162757738961784
-2.5,unlucky,0.5519685497180618
-5.0,unlucky,0.5096516406866523
-2.5,unlucky,0.6953709537466723
-10.0,unlucky,0.5572879678953404
-5.0,unlucky,0.5547437488322823
-10.0,unlucky,0.5508093538413341
-5.0,unlucky,0.6616358516700255
-5.0,unlucky,0.631412877224479
20.0,lucky,0.6585440837695061
-10.0,unlucky,0.4575391636881444
-20.0,unlucky,0.5150295229802144
-2.5,unlucky,0.6184866140404213
-5.0,unlucky,0.6722740085342693
-20.0,unlucky,0.6585440837695061
-5.0,unlucky,0.5711583391471966
10.0,lucky,0.760334960225036
20.0,lucky,0.8485314868663625
-5.0,unlucky,0.6990936675104242
-5.0,unlucky,0.6360776895730251
-5.0,unlucky,0.6466857879738467
-5.0,unlucky,0.47423400918219566
-10.0,unlucky,0.5729261225476586
-5.0,unlucky,0.7034428049266636
10.0,lucky,0.6541098895495927
-5.0,unlucky,0.611115379506361
-2.5,unlucky,0.5490988993577467
-10.0,unlucky,0.6541098895495927
-2.5,unlucky,0.5475070904299238
-2.5,unlucky,0.5711583391471966
-1.0,unlucky,0.5711583391471966
5.0,lucky,0.5977738146335146
10.0,lucky,0.7324134215793292
40.0,lucky,0.6501588807062013
10.0,lucky,0.6713836767779474
5.0,lucky,0.6722740085342693
-5.0,unlucky,0.5263139882962876
-2.5,unlucky,0.6539973385908122
-2.5,unlucky,0.6046211343336884
-2.5,unlucky,0.6601749845223144
-2.5,unlucky,0.5248181418807136
-1.0,unlucky,0.6601749845223144
-1.0,unlucky,0.5248181418807136
-5.0,unlucky,0.4991061458518361
-1.0,unlucky,0.6953709537466723
-1.0,unlucky,0.6539973385908122
-1.0,unlucky,0.6046211343336884
-0.5,unlucky,0.6025213556044619
-2.5,unlucky,0.631412877224479
-10.0,unlucky,0.6411188642683668
-2.5,unlucky,0.5833673627233299
5.0,lucky,0.47423400918219566
10.0,lucky,0.5595559313108717
-5.0,unlucky,0.639385719036854
-10.0,unlucky,0.42266083273996763
-5.0,unlucky,0.4575391636881444
-5.0,unlucky,0.6601129574901129
0.0,unlucky,0.6025213556044619
-2.5,unlucky,0.7454724966284296
-1.0,unlucky,0.6162757738961784
10.0,lucky,0.5508093538413341
10.0,lucky,0.7744770652611116
10.0,lucky,0.6259991324517621
2.0,lucky,0.5490988993577467
2.0,lucky,0.6299193671496478
-5.0,unlucky,0.3899434058060488
-10.0,unlucky,0.5595559313108717
2.0,lucky,0.6374105807688341
0.0,lucky,0.5802321183050977
10.0,lucky,0.4074270607544652
20.0,lucky,0.4074270607544652
-2.5,unlucky,0.5263139882962876
-10.0,unlucky,0.6585440837695061
80.0,lucky,0.6501588807062013
10.0,lucky,0.6210129517207666
20.0,lucky,0.7324134215793292
2.0,lucky,0.7454724966284296
5.0,lucky,0.5114738156629044
-10.0,unlucky,0.5508093538413341
-2.5,unlucky,0.6625901990488554
-2.0,unlucky,0.6299193671496478
-1.0,unlucky,0.5867158629553798
-1.0,unlucky,0.5709463105258009
2.0,lucky,0.631412877224479
20.0,lucky,0.6054904880358961
-0.5,unlucky,0.5867158629553798
-0.5,unlucky,0.5709463105258009
-5.0,unlucky,0.5308952716519388
-2.5,unlucky,0.5547437488322823
-5.0,unlucky,0.5763618701439255
10.0,lucky,0.6411188642683668
2.0,lucky,0.6625901990488554
10.0,lucky,0.569147868053149
10.0,lucky,0.5508093538413341
10.0,lucky,0.479814275084664
20.0,lucky,0.8520268037038545
-2.5,unlucky,0.4575391636881444
-2.5,unlucky,0.3899434058060488
-2.5,unlucky,0.5308952716519388
-10.0,unlucky,0.760334960225036
-5.0,unlucky,0.5655451092972921
-2.5,unlucky,0.4991061458518361
-0.5,unlucky,0.6162757738961784
-2.5,unlucky,0.6644145576379148
-80.0,unlucky,0.6501588807062013
4.0,lucky,0.631412877224479
40.0,lucky,0.6054904880358961
2.0,lucky,0.5748660847836345
-2.0,unlucky,0.5490988993577467
-1.0,unlucky,0.5519685497180618
-2.5,unlucky,0.5824646917264583
0.0,unlucky,0.6025213556044619
-2.5,unlucky,0.5606892418584912
-1.0,unlucky,0.3899434058060488
-2.5,unlucky,0.639385719036854
-5.0,unlucky,0.42266083273996763
-2.5,unlucky,0.7257039242348693
-5.0,unlucky,0.5595559313108717
10.0,lucky,0.5704302008265013
2.0,lucky,0.639385719036854
5.0,lucky,0.42266083273996763
-5.0,unlucky,0.46890952113691325
-2.5,unlucky,0.667551106315344
