idno,ses_index,talent_index,capital
50004,0.8134400776322174,0.3333333333333333,3.333333333333333
50032,0.5456089277049976,1.0,3.333333333333333
50059,0.5402717127607958,0.6666666666666666,5.0
50070,0.9417758369723435,0.3333333333333333,8.333333333333332
50083,0.502668607472101,0.0,2.5
50090,0.6145075206210577,1.0,6.666666666666666
50099,0.48544395924308587,0.3333333333333333,5.0
50129,0.46288209606986896,0.0,3.333333333333333
50138,0.5184376516254245,0.0,1.6666666666666665
50156,0.8306647258612324,0.6666666666666666,9.166666666666668
50195,0.7195536147501214,0.6666666666666666,0.8333333333333333
50204,0.5739932071809801,1.0,5.0
50228,0.37433284813197476,0.6666666666666666,3.333333333333333
50267,0.7256186317321689,0.3333333333333333,3.333333333333333
50268,0.6011644832605532,1.0,10.0
50275,0.7506065016982048,0.6666666666666666,5.0
50280,0.4291606016496846,0.0,3.333333333333333
50293,0.4291606016496846,0.6666666666666666,4.166666666666666
50312,0.26322173702086366,0.6666666666666666,2.5
50368,0.42988840368753034,1.0,5.0
50371,0.26322173702086366,0.0,1.6666666666666665
50376,0.37433284813197476,1.0,5.0
50396,0.20111596312469673,1.0,5.0
50420,0.3187772925764192,0.0,2.5
50431,0.12833575934012614,0.0,4.166666666666666
50495,0.2566715186802523,0.6666666666666666,5.0
50544,0.3066472586123241,0.6666666666666666,6.666666666666666
50552,0.9417758369723435,0.6666666666666666,5.0
50553,0.6145075206210577,0.6666666666666666,3.333333333333333
50587,0.6639980591945658,0.6666666666666666,5.833333333333334
50627,0.12760795730228044,0.0,3.333333333333333
50639,0.183163512857836,0.6666666666666666,5.0
50641,0.6295487627365357,0.0,3.333333333333333
50690,0.29500242600679283,0.0,3.333333333333333
50723,0.48010674429888406,1.0,10.0
50813,0.5958272683163512,0.3333333333333333,3.333333333333333
50833,0.5739932071809801,0.0,2.5
50839,0.5958272683163512,0.0,3.333333333333333
50861,0.8617176128093158,0.6666666666666666,5.0
50882,0.9417758369723435,1.0,8.333333333333332
50900,0.6394953905870937,1.0,5.0
50949,0.5409995147986415,0.6666666666666666,2.5
50973,0.6521106259097526,1.0,1.6666666666666665
50974,0.12760795730228044,0.6666666666666666,4.166666666666666
50982,0.42988840368753034,0.3333333333333333,2.5
50998,0.7751091703056768,0.0,10.0
